"Sentence_Length","Offence_Type","Sentence_No","Boroughs","Reoffend"
"12 months-3 years","Acquisitive","Not First Sentence","Westminster","Don't reoffend"
"12 months or less","Acquisitive","Not First Sentence","Islington","Reoffend"
"12 months or less","Acquisitive","First Sentence","Lambeth","Don't reoffend"
"12 months or less","Drug","First Sentence","Camden","Reoffend"
"3 years+","Vehicle","Not First Sentence","Tower Hamlets","Reoffend"
"3 years+","Acquisitive","Not First Sentence","Greenwich","Don't reoffend"
"3 years+","Drug","First Sentence","Lambeth","Reoffend"
"12 months-3 years","Vehicle","Not First Sentence","Westminster","Don't reoffend"
"12 months-3 years","Acquisitive","Not First Sentence","Southwark","Reoffend"
"12 months or less","Vehicle","Not First Sentence","Hammersmith and Fulham","Don't reoffend"
"12 months or less","Vehicle","First Sentence","Lewisham","Reoffend"
"12 months or less","Acquisitive","Not First Sentence","Southwark","Don't reoffend"
"12 months or less","Acquisitive","Not First Sentence","Greenwich","Don't reoffend"
"12 months or less","Drug","First Sentence","Camden","Don't reoffend"
"12 months-3 years","Vehicle","Not First Sentence","Tower Hamlets","Don't reoffend"
"3 years+","Drug","First Sentence","Southwark","Reoffend"
"12 months-3 years","Acquisitive","Not First Sentence","Hammersmith and Fulham","Reoffend"
"12 months-3 years","Drug","Not First Sentence","Greenwich","Don't reoffend"
"12 months-3 years","Vehicle","Not First Sentence","Southwark","Don't reoffend"
"12 months or less","Vehicle","Not First Sentence","Hammersmith and Fulham","Reoffend"
"3 years+","Vehicle","Not First Sentence","Tower Hamlets","Reoffend"
"3 years+","Vehicle","Not First Sentence","Kensington and Chelsea","Reoffend"
"12 months or less","Vehicle","First Sentence","Hackney","Reoffend"
"12 months or less","Vehicle","Not First Sentence","Westminster","Don't reoffend"
"3 years+","Vehicle","First Sentence","Camden","Don't reoffend"
"3 years+","Vehicle","First Sentence","Wandsworth","Reoffend"
"3 years+","Acquisitive","Not First Sentence","Tower Hamlets","Reoffend"
"12 months-3 years","Acquisitive","Not First Sentence","Wandsworth","Don't reoffend"
"12 months or less","Drug","Not First Sentence","Hammersmith and Fulham","Don't reoffend"
"12 months or less","Acquisitive","First Sentence","Greenwich","Reoffend"
"12 months or less","Acquisitive","First Sentence","Lambeth","Reoffend"
"12 months-3 years","Acquisitive","First Sentence","Camden","Don't reoffend"
"12 months-3 years","Vehicle","Not First Sentence","Lambeth","Don't reoffend"
"3 years+","Drug","Not First Sentence","Tower Hamlets","Reoffend"
"12 months or less","Acquisitive","First Sentence","Tower Hamlets","Don't reoffend"
"12 months or less","Acquisitive","Not First Sentence","Wandsworth","Don't reoffend"
"3 years+","Vehicle","First Sentence","Camden","Reoffend"
"12 months-3 years","Drug","Not First Sentence","Wandsworth","Don't reoffend"
"12 months or less","Acquisitive","Not First Sentence","Wandsworth","Don't reoffend"
"12 months or less","Drug","First Sentence","Tower Hamlets","Don't reoffend"
"3 years+","Vehicle","Not First Sentence","Camden","Reoffend"
"12 months or less","Acquisitive","Not First Sentence","Greenwich","Reoffend"
"3 years+","Vehicle","Not First Sentence","Wandsworth","Don't reoffend"
"3 years+","Acquisitive","First Sentence","Hackney","Don't reoffend"
"3 years+","Vehicle","Not First Sentence","Hackney","Don't reoffend"
"12 months or less","Drug","Not First Sentence","Lambeth","Reoffend"
"3 years+","Drug","Not First Sentence","Hammersmith and Fulham","Reoffend"
"3 years+","Drug","Not First Sentence","Lewisham","Reoffend"
"12 months-3 years","Acquisitive","Not First Sentence","Lewisham","Reoffend"
"12 months or less","Drug","Not First Sentence","Tower Hamlets","Don't reoffend"
"12 months-3 years","Drug","First Sentence","Southwark","Reoffend"
"3 years+","Acquisitive","First Sentence","Tower Hamlets","Don't reoffend"
"3 years+","Drug","Not First Sentence","Greenwich","Don't reoffend"
"3 years+","Acquisitive","Not First Sentence","Westminster","Reoffend"
"12 months or less","Drug","First Sentence","Camden","Don't reoffend"
"12 months-3 years","Acquisitive","Not First Sentence","Camden","Reoffend"
"12 months or less","Vehicle","First Sentence","Southwark","Don't reoffend"
"3 years+","Drug","First Sentence","Southwark","Don't reoffend"
"3 years+","Acquisitive","First Sentence","Tower Hamlets","Don't reoffend"
"12 months or less","Drug","Not First Sentence","Camden","Reoffend"
"12 months-3 years","Vehicle","First Sentence","Kensington and Chelsea","Don't reoffend"
"3 years+","Drug","First Sentence","Tower Hamlets","Don't reoffend"
"12 months or less","Acquisitive","Not First Sentence","Tower Hamlets","Reoffend"
"12 months-3 years","Vehicle","Not First Sentence","Islington","Reoffend"
"12 months or less","Drug","First Sentence","Southwark","Reoffend"
"3 years+","Drug","First Sentence","Greenwich","Reoffend"
"12 months-3 years","Vehicle","First Sentence","Islington","Reoffend"
"12 months or less","Vehicle","Not First Sentence","Hammersmith and Fulham","Don't reoffend"
"12 months or less","Vehicle","First Sentence","Camden","Don't reoffend"
"3 years+","Acquisitive","First Sentence","Greenwich","Reoffend"
"12 months or less","Acquisitive","First Sentence","Lewisham","Don't reoffend"
"12 months or less","Acquisitive","First Sentence","Hammersmith and Fulham","Don't reoffend"
"12 months or less","Vehicle","First Sentence","Lambeth","Reoffend"
"12 months or less","Acquisitive","Not First Sentence","Kensington and Chelsea","Reoffend"
"3 years+","Vehicle","Not First Sentence","Camden","Reoffend"
"12 months-3 years","Vehicle","Not First Sentence","Greenwich","Don't reoffend"
"3 years+","Vehicle","First Sentence","Kensington and Chelsea","Don't reoffend"
"12 months-3 years","Acquisitive","First Sentence","Lambeth","Reoffend"
"3 years+","Vehicle","First Sentence","Lambeth","Reoffend"
"12 months-3 years","Drug","Not First Sentence","Wandsworth","Don't reoffend"
"12 months-3 years","Drug","Not First Sentence","Camden","Reoffend"
"12 months or less","Acquisitive","First Sentence","Islington","Reoffend"
"12 months or less","Vehicle","First Sentence","Tower Hamlets","Reoffend"
"3 years+","Drug","Not First Sentence","Hammersmith and Fulham","Reoffend"
"12 months-3 years","Acquisitive","First Sentence","Southwark","Reoffend"
"3 years+","Drug","Not First Sentence","Wandsworth","Reoffend"
"12 months or less","Drug","Not First Sentence","Greenwich","Reoffend"
"3 years+","Acquisitive","Not First Sentence","Greenwich","Reoffend"
"12 months-3 years","Drug","First Sentence","Greenwich","Reoffend"
"12 months-3 years","Drug","First Sentence","Camden","Don't reoffend"
"12 months-3 years","Drug","Not First Sentence","Kensington and Chelsea","Don't reoffend"
"3 years+","Drug","First Sentence","Southwark","Reoffend"
"12 months-3 years","Drug","First Sentence","Lewisham","Don't reoffend"
"12 months-3 years","Vehicle","First Sentence","Westminster","Reoffend"
"12 months or less","Acquisitive","First Sentence","Hackney","Reoffend"
"12 months or less","Drug","First Sentence","Islington","Don't reoffend"
"3 years+","Vehicle","Not First Sentence","Westminster","Don't reoffend"
"12 months-3 years","Acquisitive","Not First Sentence","Kensington and Chelsea","Reoffend"
"12 months or less","Vehicle","Not First Sentence","Lewisham","Reoffend"
"12 months or less","Drug","First Sentence","Islington","Don't reoffend"
"12 months-3 years","Acquisitive","Not First Sentence","Lewisham","Reoffend"
"12 months or less","Vehicle","Not First Sentence","Tower Hamlets","Reoffend"
"12 months or less","Vehicle","First Sentence","Lambeth","Don't reoffend"
"12 months or less","Acquisitive","First Sentence","Hackney","Don't reoffend"
"3 years+","Acquisitive","Not First Sentence","Camden","Reoffend"
"12 months-3 years","Drug","First Sentence","Hammersmith and Fulham","Reoffend"
"12 months or less","Acquisitive","First Sentence","Hackney","Don't reoffend"
"12 months-3 years","Acquisitive","Not First Sentence","Lambeth","Reoffend"
"12 months-3 years","Vehicle","Not First Sentence","Westminster","Reoffend"
"12 months or less","Vehicle","Not First Sentence","Greenwich","Don't reoffend"
"12 months-3 years","Acquisitive","First Sentence","Tower Hamlets","Don't reoffend"
"12 months or less","Drug","First Sentence","Tower Hamlets","Reoffend"
"12 months or less","Acquisitive","Not First Sentence","Islington","Reoffend"
"12 months or less","Acquisitive","First Sentence","Islington","Reoffend"
"12 months or less","Drug","First Sentence","Westminster","Reoffend"
"3 years+","Acquisitive","First Sentence","Tower Hamlets","Reoffend"
"3 years+","Drug","Not First Sentence","Islington","Reoffend"
"12 months-3 years","Drug","First Sentence","Wandsworth","Reoffend"
"12 months-3 years","Acquisitive","First Sentence","Hackney","Reoffend"
"12 months-3 years","Drug","Not First Sentence","Islington","Reoffend"
"3 years+","Vehicle","Not First Sentence","Greenwich","Reoffend"
"12 months or less","Vehicle","First Sentence","Hammersmith and Fulham","Reoffend"
"12 months or less","Vehicle","Not First Sentence","Islington","Don't reoffend"
"12 months-3 years","Acquisitive","First Sentence","Tower Hamlets","Reoffend"
"12 months-3 years","Vehicle","First Sentence","Westminster","Reoffend"
"3 years+","Drug","Not First Sentence","Westminster","Don't reoffend"
"3 years+","Drug","First Sentence","Lambeth","Don't reoffend"
"3 years+","Vehicle","First Sentence","Tower Hamlets","Reoffend"
"12 months-3 years","Drug","Not First Sentence","Kensington and Chelsea","Don't reoffend"
"12 months-3 years","Drug","First Sentence","Islington","Reoffend"
"3 years+","Acquisitive","Not First Sentence","Hammersmith and Fulham","Don't reoffend"
"12 months-3 years","Acquisitive","First Sentence","Lewisham","Don't reoffend"
"12 months or less","Vehicle","First Sentence","Wandsworth","Don't reoffend"
"3 years+","Acquisitive","First Sentence","Camden","Reoffend"
"3 years+","Acquisitive","Not First Sentence","Tower Hamlets","Reoffend"
"12 months-3 years","Vehicle","Not First Sentence","Westminster","Reoffend"
"12 months-3 years","Drug","First Sentence","Lambeth","Don't reoffend"
"12 months or less","Drug","First Sentence","Greenwich","Reoffend"
"3 years+","Drug","Not First Sentence","Greenwich","Reoffend"
"12 months-3 years","Acquisitive","First Sentence","Lewisham","Reoffend"
"3 years+","Drug","First Sentence","Islington","Reoffend"
"3 years+","Vehicle","Not First Sentence","Hammersmith and Fulham","Reoffend"
"3 years+","Vehicle","First Sentence","Southwark","Reoffend"
"12 months or less","Acquisitive","First Sentence","Tower Hamlets","Don't reoffend"
"3 years+","Vehicle","Not First Sentence","Kensington and Chelsea","Don't reoffend"
"3 years+","Acquisitive","First Sentence","Wandsworth","Reoffend"
"12 months or less","Vehicle","First Sentence","Islington","Reoffend"
"12 months or less","Acquisitive","First Sentence","Hackney","Reoffend"
"12 months-3 years","Vehicle","First Sentence","Kensington and Chelsea","Reoffend"
"3 years+","Acquisitive","Not First Sentence","Hackney","Don't reoffend"
"12 months-3 years","Vehicle","First Sentence","Islington","Reoffend"
"3 years+","Drug","First Sentence","Westminster","Reoffend"
"12 months or less","Acquisitive","Not First Sentence","Hackney","Reoffend"
"3 years+","Vehicle","First Sentence","Wandsworth","Don't reoffend"
"12 months-3 years","Drug","First Sentence","Greenwich","Don't reoffend"
"12 months-3 years","Acquisitive","Not First Sentence","Wandsworth","Reoffend"
"12 months-3 years","Acquisitive","First Sentence","Southwark","Reoffend"
"12 months-3 years","Drug","Not First Sentence","Camden","Don't reoffend"
"12 months-3 years","Drug","First Sentence","Wandsworth","Don't reoffend"
"12 months-3 years","Acquisitive","First Sentence","Westminster","Reoffend"
"12 months-3 years","Acquisitive","Not First Sentence","Kensington and Chelsea","Don't reoffend"
"3 years+","Drug","Not First Sentence","Greenwich","Reoffend"
"12 months or less","Vehicle","Not First Sentence","Wandsworth","Reoffend"
"3 years+","Drug","Not First Sentence","Lewisham","Don't reoffend"
"12 months or less","Vehicle","Not First Sentence","Hackney","Don't reoffend"
"3 years+","Drug","Not First Sentence","Wandsworth","Don't reoffend"
"12 months-3 years","Drug","First Sentence","Southwark","Don't reoffend"
"12 months-3 years","Vehicle","Not First Sentence","Westminster","Reoffend"
"12 months-3 years","Vehicle","Not First Sentence","Greenwich","Don't reoffend"
"12 months or less","Vehicle","First Sentence","Lambeth","Reoffend"
"12 months or less","Vehicle","Not First Sentence","Islington","Don't reoffend"
"12 months or less","Drug","Not First Sentence","Wandsworth","Don't reoffend"
"3 years+","Acquisitive","Not First Sentence","Hackney","Don't reoffend"
"12 months-3 years","Drug","Not First Sentence","Wandsworth","Reoffend"
"12 months-3 years","Acquisitive","Not First Sentence","Tower Hamlets","Don't reoffend"
"3 years+","Acquisitive","Not First Sentence","Camden","Reoffend"
"12 months or less","Acquisitive","Not First Sentence","Hackney","Reoffend"
"3 years+","Acquisitive","First Sentence","Greenwich","Don't reoffend"
"3 years+","Drug","Not First Sentence","Hackney","Don't reoffend"
"12 months-3 years","Vehicle","Not First Sentence","Camden","Reoffend"
"12 months or less","Vehicle","Not First Sentence","Southwark","Reoffend"
"3 years+","Acquisitive","Not First Sentence","Hammersmith and Fulham","Don't reoffend"
"3 years+","Drug","Not First Sentence","Camden","Reoffend"
"3 years+","Acquisitive","Not First Sentence","Westminster","Don't reoffend"
"12 months-3 years","Vehicle","Not First Sentence","Greenwich","Reoffend"
"12 months or less","Acquisitive","First Sentence","Kensington and Chelsea","Reoffend"
"12 months-3 years","Acquisitive","Not First Sentence","Tower Hamlets","Don't reoffend"
"12 months or less","Drug","First Sentence","Tower Hamlets","Don't reoffend"
"12 months-3 years","Drug","Not First Sentence","Camden","Reoffend"
"3 years+","Acquisitive","Not First Sentence","Camden","Reoffend"
"12 months or less","Vehicle","Not First Sentence","Hammersmith and Fulham","Don't reoffend"
"3 years+","Vehicle","First Sentence","Hackney","Reoffend"
"3 years+","Vehicle","Not First Sentence","Westminster","Don't reoffend"
"12 months or less","Drug","Not First Sentence","Wandsworth","Don't reoffend"
"3 years+","Drug","Not First Sentence","Lewisham","Reoffend"
"3 years+","Drug","Not First Sentence","Lewisham","Reoffend"
"12 months or less","Vehicle","First Sentence","Islington","Reoffend"
"3 years+","Acquisitive","Not First Sentence","Kensington and Chelsea","Reoffend"
"12 months-3 years","Acquisitive","Not First Sentence","Lambeth","Reoffend"
"3 years+","Acquisitive","Not First Sentence","Hammersmith and Fulham","Reoffend"
"3 years+","Acquisitive","First Sentence","Hammersmith and Fulham","Don't reoffend"
"12 months or less","Acquisitive","First Sentence","Greenwich","Don't reoffend"
"3 years+","Acquisitive","First Sentence","Westminster","Don't reoffend"
"3 years+","Vehicle","Not First Sentence","Hammersmith and Fulham","Don't reoffend"
"3 years+","Vehicle","First Sentence","Greenwich","Reoffend"
"12 months-3 years","Acquisitive","Not First Sentence","Southwark","Reoffend"
"3 years+","Drug","First Sentence","Lambeth","Reoffend"
"12 months or less","Vehicle","First Sentence","Camden","Don't reoffend"
"12 months or less","Drug","Not First Sentence","Tower Hamlets","Don't reoffend"
"12 months or less","Drug","Not First Sentence","Islington","Reoffend"
"12 months or less","Acquisitive","Not First Sentence","Lambeth","Reoffend"
"3 years+","Drug","First Sentence","Lambeth","Reoffend"
"12 months or less","Acquisitive","Not First Sentence","Westminster","Reoffend"
"12 months or less","Drug","Not First Sentence","Hackney","Don't reoffend"
"3 years+","Vehicle","Not First Sentence","Islington","Don't reoffend"
"3 years+","Vehicle","Not First Sentence","Lewisham","Don't reoffend"
"12 months-3 years","Acquisitive","First Sentence","Southwark","Reoffend"
"12 months or less","Vehicle","Not First Sentence","Southwark","Don't reoffend"
"12 months or less","Vehicle","Not First Sentence","Kensington and Chelsea","Reoffend"
"3 years+","Vehicle","First Sentence","Camden","Reoffend"
"12 months or less","Acquisitive","First Sentence","Lambeth","Don't reoffend"
"12 months or less","Vehicle","First Sentence","Lambeth","Reoffend"
"3 years+","Acquisitive","Not First Sentence","Islington","Don't reoffend"
"12 months or less","Drug","Not First Sentence","Lambeth","Don't reoffend"
"12 months or less","Acquisitive","Not First Sentence","Kensington and Chelsea","Don't reoffend"
"3 years+","Vehicle","First Sentence","Kensington and Chelsea","Reoffend"
"12 months or less","Drug","Not First Sentence","Camden","Reoffend"
"12 months or less","Vehicle","First Sentence","Islington","Reoffend"
"12 months-3 years","Vehicle","First Sentence","Tower Hamlets","Don't reoffend"
"3 years+","Vehicle","Not First Sentence","Greenwich","Don't reoffend"
"3 years+","Acquisitive","First Sentence","Westminster","Reoffend"
"12 months or less","Drug","Not First Sentence","Greenwich","Don't reoffend"
"3 years+","Drug","First Sentence","Tower Hamlets","Reoffend"
"12 months-3 years","Drug","First Sentence","Southwark","Reoffend"
"12 months-3 years","Vehicle","Not First Sentence","Southwark","Reoffend"
"12 months-3 years","Vehicle","First Sentence","Hackney","Don't reoffend"
"3 years+","Acquisitive","First Sentence","Lewisham","Reoffend"
"12 months or less","Vehicle","Not First Sentence","Lewisham","Don't reoffend"
"12 months-3 years","Vehicle","Not First Sentence","Southwark","Reoffend"
"3 years+","Acquisitive","First Sentence","Hammersmith and Fulham","Don't reoffend"
"3 years+","Drug","Not First Sentence","Kensington and Chelsea","Reoffend"
"3 years+","Acquisitive","Not First Sentence","Kensington and Chelsea","Reoffend"
"12 months or less","Drug","Not First Sentence","Hammersmith and Fulham","Don't reoffend"
"12 months or less","Drug","First Sentence","Lambeth","Reoffend"
"12 months-3 years","Acquisitive","First Sentence","Wandsworth","Don't reoffend"
"3 years+","Acquisitive","Not First Sentence","Southwark","Reoffend"
"12 months-3 years","Vehicle","Not First Sentence","Camden","Reoffend"
"12 months or less","Drug","Not First Sentence","Southwark","Don't reoffend"
"12 months or less","Drug","First Sentence","Islington","Reoffend"
"12 months or less","Vehicle","First Sentence","Tower Hamlets","Don't reoffend"
"12 months-3 years","Acquisitive","Not First Sentence","Greenwich","Reoffend"
"3 years+","Drug","Not First Sentence","Camden","Don't reoffend"
"12 months or less","Vehicle","First Sentence","Hammersmith and Fulham","Don't reoffend"
"12 months or less","Acquisitive","First Sentence","Lambeth","Reoffend"
"3 years+","Acquisitive","Not First Sentence","Greenwich","Reoffend"
"12 months-3 years","Vehicle","First Sentence","Tower Hamlets","Reoffend"
"12 months or less","Acquisitive","Not First Sentence","Lambeth","Don't reoffend"
"12 months-3 years","Acquisitive","Not First Sentence","Hackney","Reoffend"
"3 years+","Vehicle","First Sentence","Hammersmith and Fulham","Reoffend"
"3 years+","Vehicle","First Sentence","Wandsworth","Reoffend"
"3 years+","Acquisitive","Not First Sentence","Wandsworth","Don't reoffend"
"3 years+","Drug","Not First Sentence","Wandsworth","Reoffend"
"3 years+","Acquisitive","Not First Sentence","Islington","Reoffend"
"12 months-3 years","Vehicle","First Sentence","Kensington and Chelsea","Reoffend"
"3 years+","Drug","Not First Sentence","Greenwich","Don't reoffend"
"3 years+","Vehicle","First Sentence","Westminster","Don't reoffend"
"12 months-3 years","Vehicle","Not First Sentence","Camden","Don't reoffend"
"12 months-3 years","Vehicle","Not First Sentence","Camden","Reoffend"
"3 years+","Vehicle","First Sentence","Hammersmith and Fulham","Reoffend"
"12 months or less","Acquisitive","First Sentence","Kensington and Chelsea","Reoffend"
"3 years+","Vehicle","First Sentence","Southwark","Don't reoffend"
"12 months-3 years","Vehicle","First Sentence","Lambeth","Reoffend"
"12 months or less","Drug","First Sentence","Lambeth","Don't reoffend"
"12 months-3 years","Drug","First Sentence","Kensington and Chelsea","Don't reoffend"
"12 months or less","Drug","First Sentence","Wandsworth","Reoffend"
"12 months or less","Drug","Not First Sentence","Lewisham","Reoffend"
"3 years+","Drug","First Sentence","Camden","Don't reoffend"
"3 years+","Acquisitive","First Sentence","Camden","Reoffend"
"12 months or less","Drug","First Sentence","Greenwich","Don't reoffend"
"12 months-3 years","Acquisitive","Not First Sentence","Southwark","Don't reoffend"
"12 months or less","Acquisitive","First Sentence","Hackney","Reoffend"
"12 months-3 years","Acquisitive","Not First Sentence","Hammersmith and Fulham","Reoffend"
"12 months-3 years","Drug","First Sentence","Lambeth","Don't reoffend"
"3 years+","Vehicle","First Sentence","Lewisham","Reoffend"
"12 months-3 years","Vehicle","Not First Sentence","Lambeth","Don't reoffend"
"12 months-3 years","Acquisitive","First Sentence","Tower Hamlets","Reoffend"
"12 months-3 years","Acquisitive","Not First Sentence","Camden","Reoffend"
"12 months or less","Drug","First Sentence","Hackney","Reoffend"
"3 years+","Acquisitive","Not First Sentence","Lewisham","Reoffend"
"3 years+","Drug","First Sentence","Islington","Don't reoffend"
"12 months or less","Drug","Not First Sentence","Westminster","Don't reoffend"
"12 months or less","Acquisitive","First Sentence","Southwark","Don't reoffend"
"3 years+","Acquisitive","First Sentence","Southwark","Don't reoffend"
"3 years+","Vehicle","Not First Sentence","Hackney","Reoffend"
"12 months or less","Drug","Not First Sentence","Westminster","Reoffend"
"12 months or less","Drug","Not First Sentence","Southwark","Don't reoffend"
"3 years+","Acquisitive","Not First Sentence","Tower Hamlets","Don't reoffend"
"3 years+","Acquisitive","Not First Sentence","Hackney","Reoffend"
"3 years+","Vehicle","Not First Sentence","Greenwich","Reoffend"
"12 months-3 years","Acquisitive","First Sentence","Lambeth","Don't reoffend"
"12 months or less","Vehicle","First Sentence","Lewisham","Don't reoffend"
"12 months or less","Acquisitive","First Sentence","Hammersmith and Fulham","Reoffend"
"12 months or less","Acquisitive","Not First Sentence","Greenwich","Reoffend"
"12 months-3 years","Vehicle","First Sentence","Kensington and Chelsea","Don't reoffend"
"12 months-3 years","Acquisitive","First Sentence","Wandsworth","Reoffend"
"12 months-3 years","Vehicle","Not First Sentence","Camden","Reoffend"
"3 years+","Drug","Not First Sentence","Hammersmith and Fulham","Reoffend"
"12 months-3 years","Drug","First Sentence","Westminster","Don't reoffend"
"12 months-3 years","Drug","Not First Sentence","Islington","Reoffend"
"3 years+","Vehicle","First Sentence","Camden","Reoffend"
"12 months-3 years","Vehicle","First Sentence","Westminster","Reoffend"
"12 months-3 years","Acquisitive","First Sentence","Islington","Don't reoffend"
"3 years+","Drug","First Sentence","Kensington and Chelsea","Reoffend"
"12 months or less","Drug","First Sentence","Hackney","Don't reoffend"
"12 months or less","Vehicle","First Sentence","Wandsworth","Reoffend"
"12 months or less","Drug","Not First Sentence","Hackney","Don't reoffend"
"12 months or less","Vehicle","First Sentence","Kensington and Chelsea","Reoffend"
"3 years+","Acquisitive","Not First Sentence","Islington","Reoffend"
"12 months-3 years","Vehicle","Not First Sentence","Wandsworth","Reoffend"
"12 months or less","Vehicle","First Sentence","Lambeth","Reoffend"
"12 months-3 years","Acquisitive","Not First Sentence","Islington","Reoffend"
"12 months-3 years","Drug","Not First Sentence","Lambeth","Don't reoffend"
"12 months-3 years","Drug","First Sentence","Camden","Don't reoffend"
"12 months or less","Drug","First Sentence","Greenwich","Don't reoffend"
"12 months-3 years","Drug","Not First Sentence","Westminster","Reoffend"
"12 months-3 years","Vehicle","First Sentence","Lewisham","Reoffend"
"12 months-3 years","Acquisitive","First Sentence","Greenwich","Don't reoffend"
"12 months-3 years","Vehicle","First Sentence","Hackney","Reoffend"
"12 months-3 years","Acquisitive","Not First Sentence","Southwark","Reoffend"
"12 months or less","Vehicle","Not First Sentence","Hammersmith and Fulham","Don't reoffend"
"12 months or less","Vehicle","Not First Sentence","Camden","Reoffend"
"3 years+","Acquisitive","Not First Sentence","Camden","Reoffend"
"12 months or less","Drug","Not First Sentence","Hackney","Reoffend"
"3 years+","Vehicle","Not First Sentence","Lambeth","Don't reoffend"
"12 months or less","Drug","First Sentence","Kensington and Chelsea","Don't reoffend"
"12 months or less","Drug","Not First Sentence","Hammersmith and Fulham","Reoffend"
"12 months-3 years","Drug","First Sentence","Islington","Reoffend"
"12 months-3 years","Acquisitive","Not First Sentence","Southwark","Reoffend"
"12 months or less","Acquisitive","First Sentence","Tower Hamlets","Reoffend"
"12 months-3 years","Vehicle","Not First Sentence","Southwark","Reoffend"
"12 months-3 years","Drug","Not First Sentence","Greenwich","Don't reoffend"
"12 months-3 years","Drug","Not First Sentence","Camden","Reoffend"
"12 months or less","Drug","First Sentence","Hackney","Don't reoffend"
"3 years+","Drug","Not First Sentence","Southwark","Don't reoffend"
"12 months or less","Acquisitive","Not First Sentence","Tower Hamlets","Don't reoffend"
"12 months-3 years","Acquisitive","Not First Sentence","Camden","Reoffend"
"12 months-3 years","Acquisitive","First Sentence","Tower Hamlets","Don't reoffend"
"3 years+","Acquisitive","Not First Sentence","Hammersmith and Fulham","Don't reoffend"
"12 months or less","Drug","Not First Sentence","Hackney","Reoffend"
"3 years+","Vehicle","Not First Sentence","Hammersmith and Fulham","Reoffend"
"3 years+","Drug","First Sentence","Westminster","Don't reoffend"
"3 years+","Vehicle","Not First Sentence","Hammersmith and Fulham","Reoffend"
"12 months or less","Vehicle","First Sentence","Tower Hamlets","Don't reoffend"
"12 months-3 years","Acquisitive","First Sentence","Hammersmith and Fulham","Reoffend"
"12 months-3 years","Vehicle","First Sentence","Southwark","Don't reoffend"
"12 months or less","Vehicle","Not First Sentence","Lewisham","Reoffend"
"12 months or less","Drug","First Sentence","Greenwich","Reoffend"
"12 months or less","Vehicle","First Sentence","Islington","Don't reoffend"
"12 months-3 years","Vehicle","First Sentence","Hackney","Reoffend"
"3 years+","Vehicle","Not First Sentence","Wandsworth","Reoffend"
"12 months or less","Vehicle","Not First Sentence","Hammersmith and Fulham","Don't reoffend"
"12 months-3 years","Drug","First Sentence","Hammersmith and Fulham","Reoffend"
"12 months-3 years","Drug","First Sentence","Lewisham","Reoffend"
"3 years+","Drug","Not First Sentence","Lambeth","Reoffend"
"12 months or less","Drug","First Sentence","Westminster","Don't reoffend"
"12 months or less","Vehicle","Not First Sentence","Westminster","Don't reoffend"
"3 years+","Acquisitive","First Sentence","Lewisham","Reoffend"
"12 months-3 years","Acquisitive","First Sentence","Greenwich","Don't reoffend"
"3 years+","Acquisitive","Not First Sentence","Kensington and Chelsea","Reoffend"
"12 months-3 years","Drug","Not First Sentence","Lewisham","Don't reoffend"
"12 months-3 years","Acquisitive","First Sentence","Islington","Reoffend"
"12 months-3 years","Vehicle","Not First Sentence","Lambeth","Don't reoffend"
"12 months or less","Acquisitive","Not First Sentence","Lambeth","Reoffend"
"12 months or less","Acquisitive","Not First Sentence","Lewisham","Don't reoffend"
"12 months-3 years","Vehicle","Not First Sentence","Lewisham","Reoffend"
"12 months or less","Vehicle","First Sentence","Lewisham","Reoffend"
"3 years+","Vehicle","Not First Sentence","Lambeth","Reoffend"
"12 months or less","Acquisitive","Not First Sentence","Kensington and Chelsea","Don't reoffend"
"3 years+","Acquisitive","Not First Sentence","Hackney","Reoffend"
"12 months or less","Acquisitive","Not First Sentence","Wandsworth","Reoffend"
"3 years+","Acquisitive","Not First Sentence","Westminster","Reoffend"
"12 months-3 years","Vehicle","Not First Sentence","Kensington and Chelsea","Reoffend"
"3 years+","Drug","Not First Sentence","Lewisham","Don't reoffend"
"12 months or less","Acquisitive","First Sentence","Lewisham","Reoffend"
"12 months or less","Drug","First Sentence","Wandsworth","Reoffend"
"12 months or less","Acquisitive","First Sentence","Islington","Reoffend"
"3 years+","Acquisitive","First Sentence","Islington","Don't reoffend"
"3 years+","Drug","Not First Sentence","Lewisham","Don't reoffend"
"3 years+","Drug","Not First Sentence","Lambeth","Don't reoffend"
"12 months-3 years","Vehicle","Not First Sentence","Lambeth","Reoffend"
"12 months-3 years","Acquisitive","Not First Sentence","Lewisham","Don't reoffend"
"3 years+","Drug","Not First Sentence","Tower Hamlets","Reoffend"
"12 months-3 years","Vehicle","Not First Sentence","Lambeth","Don't reoffend"
"12 months or less","Drug","First Sentence","Islington","Reoffend"
"12 months or less","Vehicle","Not First Sentence","Lewisham","Reoffend"
"12 months or less","Acquisitive","First Sentence","Lewisham","Don't reoffend"
"12 months or less","Acquisitive","Not First Sentence","Hackney","Don't reoffend"
"3 years+","Vehicle","Not First Sentence","Westminster","Reoffend"
"12 months-3 years","Drug","First Sentence","Greenwich","Don't reoffend"
"3 years+","Drug","First Sentence","Wandsworth","Don't reoffend"
"12 months-3 years","Drug","First Sentence","Greenwich","Don't reoffend"
"3 years+","Acquisitive","Not First Sentence","Lambeth","Don't reoffend"
"12 months or less","Drug","First Sentence","Lambeth","Reoffend"
"12 months-3 years","Vehicle","Not First Sentence","Lewisham","Reoffend"
